name,location,reviews,facilities,price,size,rules,stars
Papatsas Center Houses,"Επαρ.Οδ. Λευκάδας - Βασιλικής 114, Νυδρί 311 00, Ελλάδα, Nydri, 31100, Greece",8.8Excellent 224 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Facilities for disabled guests', 'Free parking', 'Restaurant', 'Room service', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
2,786 zł
Current price
2,563 zł
</span>",25 m²,"['Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Ianos Hotel,"Marina Lefkadas, Lefkada, 31100, Greece",7.3Good 754 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$869
</span>",388 feet²,['Pets\n\n\nPets are not allowed.'],
The Garden's Studios,"Vlicho, Vlikhon, 31084, Greece",8.9Excellent 70 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
CAD 397
</span>",15 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Eleana Boutique Hotel & Blue Infinity,"Main Street, Nikiana, 31100, Greece",9.4Wonderful 133 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Facilities for disabled guests', 'Free parking', 'Room service', 'Family rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
5,292 zł
</span>",40 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
Georgia Villas,"Thesi Stavros Agios Nikitas, Drymon, 31080, Greece",9.8Exceptional 127 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 2,379
</span>",,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4
Stone Suites at Lefkada's Old Port,"Petrou Filippa Papagou, Lefkada, 31100, Greece",9.0Wonderful 82 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms']","<span class=""bui-u-sr-only"">
Price
€ 1,150
</span>",40 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Mylos Mountain Villas- Villa Nikitas,"Επαρχιακή Οδός Λευκάδας - Κάτω Εξανθείας, Agios Nikitas, 31080, Greece",8.8Excellent 18 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$965
</span>",323 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Crystal Waters,"Nikiana, Nikiana, 31100, Greece",9.2Wonderful 517 reviews,"['3 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Restaurant', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 94,174
</span>",24 m²,['Pets\n\n\nPets are not allowed.'],4
Rouda Village,"Mikros Gialos Poros, Mikros Gialos, 31100, Greece",8.7Excellent 81 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$676
</span>",323 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Delfini,"Nydri, Nydri, 31100, Greece",7.4Good 224 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Beachfront', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 525
Current price
€ 483
</span>",16 m²,['Pets\n\n\nPets are not allowed.'],3
