name,location,reviews,facilities,price,size,rules,stars
Galaxy Suites & Villas,"Main Street, Imerovigli, 84700, Greece",8.8Excellent 99 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Free parking', 'Family rooms', 'Free WiFi', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$3,055
</span>",1615 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Luxus VIP Suites,"Oia, Oia, 84702, Greece",9.6Exceptional 196 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Terrace', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 3,825
Current price
€ 3,060
</span>",23 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Palmariva Villas,"Dekigala , Fira, 84700, Greece",9.7Exceptional 382 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace']","<span class=""bui-u-sr-only"">
Price
$3,786
</span>",721 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",
Santo Miramare Beach Resort,"Main Street, Perivolos, 84700, Greece",8.6Excellent 464 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Free WiFi', 'Beachfront', 'Restaurant', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
US$1,676
</span>",24 m²,['Pets\n\n\nPets are not allowed.'],4
Flora's House & Cave Winery,"Agios Spyridonas, Pyrgos, 84700, Greece",9.8Exceptional 92 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Family rooms', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
$2,017
Current price
$1,594
</span>",667 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",
White Pearl Villas,"Oia, Oia, 84700, Greece",9.5Exceptional 418 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Terrace', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 6,633
Current price
CAD 3,980
</span>",55 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Bluedome Cavehouses Santorini,"Nikolaou Nomikou, Oia, 84702, Greece",9.7Exceptional 51 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace']","<span class=""bui-u-sr-only"">
Original price
$13,943
Current price
$7,669
</span>",969 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",
Labyrinth Traditional Houses,"Pyrgos Kastelli Santorini, Pyrgos, 84701, Greece",9.2Wonderful 87 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Family rooms', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Original price
$1,448
Current price
$1,158
</span>",646 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",
ArmonOia Suites,"Νικολάου Νομικού, Oia, 84702, Greece",9.2Wonderful 26 reviews,"['Airport shuttle', 'Family rooms', 'Free WiFi', 'Terrace', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
¥371,410
Current price
¥324,612
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4
Aeron Suites,"Vothon, Éxo Goniá, 84700, Greece",9.1Wonderful 297 reviews,"['Airport shuttle', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Family rooms', 'Room service', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 966
Current price
€ 889
</span>",42 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3
