name,location,reviews,facilities,price,size,rules,stars
Porto Naxos,"Agios Georgios beach, Naxos Chora, 84300, Greece",8.6Excellent 145 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,750
Current price
$1,575
</span>",301 feet²,['Pets\n\n\nPets are not allowed.'],
Ostria Inn,"Moutsouna, Moutsouna Naxos, 84302, Greece",9.6Exceptional 35 reviews,"['2 swimming pools', 'Airport shuttle', 'Restaurant', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
₪ 10,775
</span>",23 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Naxos Resort Beach Hotel,"St.George Beach, Naxos Chora, 84300, Greece",8.3Very Good 216 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Facilities for disabled guests', 'Free parking', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 1,569
</span>",15 m²,['Pets\n\n\nPets are not allowed.'],3
Astir Of Naxos,"Saint George Beach, Naxos Chora, 84300, Greece",8.7Excellent 193 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$1,848
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],
Depis Luxury Suites,"Naxos 1, Naxos Chora, 84300, Greece",7.9Good 192 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,178
</span>",323 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Naxos Island Escape Suites,"Plaka, Plaka, 84300, Greece",9.4Wonderful 54 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$1,720
</span>",377 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",
Lefteris Studios,"Kapares Agia Anna, Agia Anna Naxos, 84300, Greece",9.5Exceptional 175 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle (free)', 'Room service', 'Free parking', 'Family rooms', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 965
</span>",35 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Iria Beach Art Hotel,"Main Street, Agia Anna Naxos, 84300, Greece",9.3Wonderful 151 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Restaurant', 'Beachfront', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,815
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Aeolis Boutique Hotel,"Naxos, Naxos Chora, 84300, Greece",7.9Good 220 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 78,478
</span>",22 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Depis Place and Apartments,"Agios Georgios, Naxos Chora, 84300, Greece",8.2Very Good 251 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$853
</span>",215 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Sea View Studios & Apartments,"Main Street, Agia Anna Naxos, 84300, Greece",8.2Very Good 81 reviews,"['Free parking', 'Non-smoking rooms', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
₹ 94,288
</span>",28 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
Hotel Palatia,"Agios Georgios beach, Naxos Chora, 84300, Greece",9.1Wonderful 251 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Beachfront', 'Free WiFi', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,512
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],1
Naxos Finest,"Andrea Papandreou fragma ag. arseniou, Naxos Chora, 84300, Greece",9.0Wonderful 110 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,333
Current price
$1,983
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Villas Naxos Grande Vista,"Avlia, Vívlos, 84300, Greece",8.7Excellent 18 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$4,066
</span>",969 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",
Sea View Studios & Apartments,"Main Street, Agia Anna Naxos, 84300, Greece",8.2Very Good 81 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,145
</span>",301 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",
